web_scraper_order,web_scraper_start_url,title,price,data,data2,data3,rating,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2
"1777074218-55","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe TCL FF0814SA1, 8 kg, 1400 RPM, Clasa A, BLDC Inverter Motor, Steam Wash, Drum Clean, 24 Hour Delay, Honeycomb Drum, Quick Wash 18 min, Add Garment, 16 Programe, Argintiu","1.449,58 Lei",",58","","PRP: 2.057,00 Lei","4.37","(121)","","","Lei","ultimul produs in stoc","Adauga in Cos","121 de review-uri","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/71331/71330260/images/res_4cd6d33ea38667e7e30c0fce2644b987.jpg?width=720&height=720&hash=2CB7552D407274F8C11D5944D17C80C3","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-56","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Heinner HWM-VT1610KD++, 6 kg, 1000 rpm, Clasa D, Display digital, Blocare acces copii, Alb","1.038,42 Lei",",42","","PRP: 1.452,00 Lei","4.34","(29)","","","Lei","ultimele 2 produse","Adauga in Cos","29 de review-uri","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/58310/58309468/images/res_5a26e0eaea9858adbe4ef38565cdbb63.jpg?width=720&height=720&hash=0A16D735B1C80C3745E10B8FC6E9A941","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-57","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe semiautomata Albatros WMS 4.5P, 4.2 kg, Alb","579,00 Lei",",00","","PRP: 599,00 Lei","4.76","(45)","","","Lei","ultimele 3 produse","Adauga in Cos","45 de review-uri","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/3253/3252623/images/res_e0793467c7f1ea70d376279149b987c6.jpg?width=720&height=720&hash=8DF325952F76FED89FC3DDBEC816284A","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-58","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Beko B3WFU48415WWES, 8 kg, 1400 RPM, Clasa A, SteamCure, AddXtra, Motor ProSmart Inverter, AutoClean Detergent Drawer, Alb","1.749,90 Lei",",90","","","5","(1)","","","Lei","","Adauga in Cos","1 review","","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/79545/79544635/images/res_fde93b74577dfef11f456c162eea2669.jpg?width=720&height=720&hash=929A8CC70A476510292BC63D07A6061F","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-59","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Slim LG F2WR508SBM, 8 kg, 1200 rpm, Clasa A, Motor Direct Drive, Smart Diagnosis, Negru","2.199,90 Lei",",90","","PRP: 2.639,99 Lei","4.56","(77)","","","Lei","","Adauga in Cos","77 de review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/60039/60038558/images/res_8bbc203a37c88e97b96dbafdf7cd81be.jpg?width=720&height=720&hash=BBD1ABA53615200B0A2D46FBBD5F1481","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-60","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-M814IVNSA+++, 8 kg, 1400 rpm, Clasa A, Motor inverter, Display digital, Blocare acces copii, Prespalare, Functie igenizare cuva, Argintiu","1.847,43 Lei",",43","","","4.73","(163)","","","Lei","","Adauga in Cos","163 de review-uri","Top Favorite","","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/100988/100987518/images/res_681c8df9326225ac9ab8facaffa8fc54.jpg?width=720&height=720&hash=B2CCDA6A7FA829284D8B32B793344B99","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-61","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Allview Sensy 1000, SLIM, motor Inverter, 10 KG, 1400 RPM, gri","1.438,57 Lei",",57","1.598,41 Lei","","","","",",41","Lei","în stoc","Adauga in Cos","","-9%","Lei","","","","","Rate 0% dobanda cu MyWallet","","","","Smart Deals","","Compara","",",",",","","https://s13emagst.akamaized.net/products/114590/114589519/images/res_f9dd354f2eea0bfc07ff9ef295a6d687.png?width=720&height=720&hash=C6C232AEB09455A9E8504E7AE5C1BA33","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-62","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Arctic APLM1WFSU19210WG, 9 Kg, 1200 RPM, Motor Silent Inverter, Drum Clean+Steam, Child Lock, Anticrease, Digital Display, Add-In, Clasa A, Gri","1.838,04 Lei",",04","","","5","(6)","","","Lei","","Adauga in Cos","6 review-uri","","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/78267/78266590/images/res_26dfcf2e40d996728eadad1b638897ff.jpg?width=720&height=720&hash=85D23960AC14D3F2FFBAE77DF6178CC3","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-63","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch Seria 8 WGB24400BY, 9 kg, 1400 RPM, EcoSilence Drive, Home Connect, Iron Assist, Iluminare interioara, Clasa A, 60 cm, Alb","4.999,96 Lei",",96","","PRP: 7.349,99 Lei","4.77","(39)","","","Lei","","Adauga in Cos","39 de review-uri","Top Favorite","","","Voucher -10% Extra","Lei","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/55101/55100457/images/res_490fc8c339bdcce9c5423b3635bc31c4.jpg?width=720&height=720&hash=D24BDDEB7ED883DC57B03E22438153F2","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-64","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Fram FWM-V6010T1D++, 6 kg, 1000 rpm, Clasa D, Display LED, Anti-sifonare, Eco-Logic, Alb","1.099,89 Lei",",89","","PRP: 2.079,99 Lei","4.75","(4)","","","Lei","ultimul produs in stoc","Adauga in Cos","4 review-uri","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/38665/38664373/images/res_c6d7089078b9a0f030c57d51d449c994.jpg?width=720&height=720&hash=18AED1C2D83E533B8D00A04408E8357A","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-65","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe frontala Arctic ARSMA630WSPRO, 6 kg, 1000 RPM, Clasa D, Digital Display, Child Lock, OptiSense, Alb","1.399,99 Lei",",99","","PRP: 1.899,99 Lei","","","","","Lei","ultimele 2 produse","Adauga in Cos","","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/114124/114123055/images/res_1d2b3586ac6cdb8f6535233610e24140.jpg?width=720&height=720&hash=A0EFC333472FA0CFB0A2B6EB5FD942F2","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-66","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe cu incarcare verticala Heinner HWM-TL6010C++, 6kg, 1000rpm, clasa C, 15 programe, display LED, program rapid 15min, program scurt 45min, program hygiene 90°c, program delicate, clatire suplimentara","1.444,50 Lei",",50","","","4.5","(6)","","","Lei","în stoc","Adauga in Cos","6 review-uri","","","","RABLA eMAG - 150 de lei card cadou","","","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/63477/63476186/images/res_bae4e82689463fbe5c257f9b6ef89493.jpg?width=720&height=720&hash=9576D4EFEA015D8F677419221770B9CC","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-67","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe LDK Queen 814DITW, 8 Kg, Clasa A, 1400 rpm, 16 programe, Control Touch, Steam, Super Spa, Storm Wash, Night wash, My Cycle, Amanare pornire, Motor Inverter, Alb","1.349,91 Lei",",91","","PRP: 2.135,20 Lei","4","(5)","","","Lei","în stoc","Adauga in Cos","5 review-uri","","","","Voucher -10% Extra","Lei","","Rate 0% dobanda cu MyWallet","","","","Genius Deals",",20","Compara","",",","",",","https://s13emagst.akamaized.net/products/83941/83940483/images/res_6ecc55b7a2c54d85ba45c4952fbc9424.jpg?width=720&height=720&hash=E9B599D72496F458A8F56B97DEF76E1D","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-68","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe LDK Queen 814DITS, 8 Kg, Clasa A, 1400 rpm, 16 programe, Control Touch, Steam, Super Spa, Storm Wash, Night wash, My Cycle, Amanare pornire, Motor Inverter, Argintiu","1.449,91 Lei",",91","","PRP: 1.699,00 Lei","4","(5)","","","Lei","în stoc","Adauga in Cos","5 review-uri","","","","Voucher -10% Extra","Lei","","Rate 0% dobanda cu MyWallet","","","","Genius Deals",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/86576/86575258/images/res_7f88b8016686073b99779110a543ffe2.jpg?width=720&height=720&hash=9A7CCF9F03464FB9250167727B0C9B5E","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-69","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe, Hyundai HY WM 1007, Alba , display LED, 7kg , 1000 RPM, Incarcare Frontala, 15 programe","1.219,99 Lei",",99","","PRP: 1.650,00 Lei","4.73","(15)","","","Lei","ultimele 3 produse","Adauga in Cos","15 review-uri","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/32920/32919068/images/res_23e4b5b32c897798b749cbe5568e6ebe.jpg?width=720&height=720&hash=572E603C7EA127BA98BE6D66E43CBAEB","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-70","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe cu uscator Beko B5DFT59442W, Spalare 9 kg, Uscare 6 kg, 1400 RPM, Clasa D, HygieneTherapy, SteamCure, HomeWhiz, ProSmart Inverter Motor, AddXtra, Alb","1.999,99 Lei",",99","","","4.14","(7)","","","Lei","","Adauga in Cos","7 review-uri","Super Pret","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/65430/65429258/images/res_77bfde235791a58489aa874a1db572f3.jpg?width=720&height=720&hash=C85B429BA823DE30AB6D5771BAAB6CEF","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-71","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-M914IVNSA+++, 9 kg, 1400 rpm, Clasa A, Motor inverter, Display digital, Blocare acces copii, Program baby care, Clatire suplimentara, Argintiu","1.693,47 Lei",",47","","","4.73","(163)","","","Lei","în stoc","Adauga in Cos","163 de review-uri","","","","RABLA eMAG - 150 de lei card cadou","","","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/100988/100987512/images/res_3390f32d171e96f3ec5508ea5f2ea762.jpg?width=720&height=720&hash=CC79E850F8F704FF8AB3C2FEF625FB03","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-72","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de Spalat Rufe RYER CoreWash, 8 kg, Clasa energetica A (-20% Peste Standard), 15 programe, 1200 rpm, Motor Inverter, Temperatura 20C - 80C, Prespalare cu abur, Pornire intarziata, Curatare tambur, Silentioasa 75 dB, Culoare Antracit, Model 2026","1.998,92 Lei",",92","","PRP: 3.860,20 Lei","5","(1)","","","Lei","în stoc","Adauga in Cos","1 review","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",20","Compara","",",","",",","https://s13emagst.akamaized.net/products/113820/113819179/images/res_d70da5b9ac29bbadfb0e72d53ff10e3e.jpg?width=720&height=720&hash=580C5E9EFAB7007C9A8DE51B94FA2A52","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
