web_scraper_order,web_scraper_start_url,title,price,data,data2,data3,rating,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2
"1777074218-29","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Electrolux EW6F2482E, 8 kg, 1350 rpm, Clasa A, Motor Inverter cu MagnetPermanent, Display LED, SensiCare, TimeManager, Alb","2.499,88 Lei",",88","","","4.44","(18)","Proc1bmovat","","Lei","","Adauga in Cos","18 review-uri","","","","Voucher -10% Extra","","","","c1b","","","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/76765/76764097/images/res_c5f29f2bcc7c5b2f6644d0fd439427b6.jpg?width=720&height=720&hash=EDBE4EB920B76782A783BF1780A0D14D",""
"1777074218-30","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Beko B3WFU48415WBPBES, 8 kg, 1400 RPM, Clasa A, SteamCure, AddXtra, Motor ProSmart Inverter, AutoClean Detergent Drawer, Alb","1.899,90 Lei",",90","","","4.57","(46)","","","Lei","","Adauga in Cos","46 de review-uri","Super Pret","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/79903/79902921/images/res_ff2ff45128888c0cd181ef43d14bff02.jpg?width=720&height=720&hash=01D8FB304235B1DD3EC0DF3D75F3C7CA","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-31","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe cu uscator Slim Haier HWD80-B14959S8U1S, 8 kg spalare, 5 kg uscare, 1400 rpm, Clasa A, Motor Direct Motion, Wi-Fi, iRefresh, ABT, Pillow Drum, Dual Spray, Antracit","2.803,47 Lei",",47","","PRP: 2.989,99 Lei","4.38","(114)","","","Lei","","Adauga in Cos","114 review-uri","Super Pret","","","Voucher -20% Extra","Lei","","Rate 0% dobanda cu MyWallet","","","Super Pret","Electro Weekend",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/43346/43345502/images/res_67a0c16fcc82caaed480b477a82e517c.jpg?width=720&height=720&hash=E44E0A11C4B3624D5CBBDBF516263A18","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-32","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch WGG244Z5BY, 9 kg, 1400 rpm, Clasa A, Motor EcoSilence Drive, Functie reincarcare, Iron assist, 60 cm, Alb","2.598,00 Lei",",00","2.998,99 Lei","","4.56","(9)","Promovd2jiceat",",99","Lei","","Adauga in Cos","9 review-uri","-13%","Lei","","Voucher -10% Extra","","","","d2jice","","Super Pret","Smart Deals","","Compara","Super Pret",",",",","","https://s13emagst.akamaized.net/products/68744/68743358/images/res_83b7a5e7a1a54adc4eaaa24a4ac5b6bc.jpg?width=720&height=720&hash=46E29BFC4C831AEECA0C064998B0D391",""
"1777074218-33","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Samsung WW90DG6G94LKU4, 9kg, Clasa A, AI Control, AI Wash, Auto Dispense, AI Ecobubble, Super Speed 39, Space Max, Hygiene Steam, Digital Inverter Motor, Alb","2.399,99 Lei",",99","","PRP: 3.149,99 Lei","4.38","(13)","","","Lei","","Adauga in Cos","13 review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/89616/89615515/images/res_87ac1d590e0d5742fff46f0bf3036818.jpg?width=720&height=720&hash=1E4204BF0CC13ADC6430CD12A473FB58","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-34","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-HME6012IVSMA+++, 6 kg, 1200 rpm, Clasa A, Motor inverter, 15 programe, Display digital, Program rapid 15 min, Program allergy steam, Program baby steam care, Functie adaugare rufe, Blocare acces copii, Alb","1.168,53 Lei",",53","1.235,94 Lei","","5","(1)","",",94","Lei","în stoc","Adauga in Cos","1 review","-5%","Lei","","","","","Rate 0% dobanda cu MyWallet","","","","Smart Deals","","Compara","",",",",","","https://s13emagst.akamaized.net/products/113612/113611464/images/res_3118cae34ce4302edf785764d9f1bf97.jpg?width=720&height=720&hash=4DD663B9A8AD671B1497D3536A9FD8C0","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-35","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim cu uscator Heinner HWDM-M814IVKA, Spalare 8 kg, Uscare 6 kg, 1400 rpm, Clasa A, Motor Inverter, Display LED, Control Touch, Alb","2.123,54 Lei",",54","","","4.43","(23)","","","Lei","","Adauga in Cos","23 de review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","","","Compara","",",","","","https://s13emagst.akamaized.net/products/85811/85810120/images/res_3cf411a3f981c1896d66c6ceafbb1387.jpg?width=720&height=720&hash=0B471C2093887CB91ED4BDD6DECB4760","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-36","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-M914IVNA+++, 9 kg, 1400 rpm, Clasa A, Motor inverter, Display digital, Blocare acces copii, Alb","1.499,99 Lei",",99","","","4.73","(163)","","","Lei","","Adauga in Cos","163 de review-uri","","","","RABLA eMAG - 150 de lei card cadou","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/57512/57511964/images/res_893c07b8cbf4cc5b9dd76e180b935c95.jpg?width=720&height=720&hash=0C8D86E497A0F62BB4F04E9F1FC74868","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-37","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Slim LG F2WR508S0W, 8 kg, 1200 rpm, Clasa A, Motor Direct Drive, Smart Diagnosis, Alb","2.134,82 Lei",",82","","PRP: 2.639,99 Lei","4.41","(69)","","","Lei","","Adauga in Cos","69 de review-uri","Super Pret","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/60039/60038550/images/res_bd65f6f027a70561f4bbbb6073f1c1e9.jpg?width=720&height=720&hash=CB12C764442719C37A1F23DD8785BA84","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-38","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch WGG244Z5BY, 9 kg, 1400 rpm, Clasa A, Motor EcoSilence Drive, Functie reincarcare, Iron assist, 60 cm, Alb","2.598,00 Lei",",00","2.998,99 Lei","","4.56","(9)","",",99","Lei","","Adauga in Cos","9 review-uri","-13%","Lei","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","Super Pret","Smart Deals","","Compara","Super Pret",",",",","","https://s13emagst.akamaized.net/products/68744/68743358/images/res_83b7a5e7a1a54adc4eaaa24a4ac5b6bc.jpg?width=720&height=720&hash=46E29BFC4C831AEECA0C064998B0D391","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
